# Acquisizione Analog Discovery 2 - Lunga durata
# time	ch1	ch2
-8.191999999999999629e-03	-2.072622010673840984e-02	-3.044119232643052730e-02
-8.191000000000000364e-03	-2.817151814061035972e-02	-1.926267125235964217e-02
-8.189999999999999364e-03	-2.817151814061035972e-02	-2.298884494371660620e-02
-8.189000000000000098e-03	-2.817151814061035972e-02	-3.416736601778749133e-02
-8.187999999999999098e-03	-1.328092207286646169e-02	-1.553649756100268162e-02
-8.186999999999999833e-03	-2.817151814061035972e-02	-3.416736601778749133e-02
-8.185999999999998833e-03	-4.306211420835425602e-02	-1.181032386964571933e-02
-8.184999999999999568e-03	-2.817151814061035972e-02	-3.044119232643052730e-02
-8.184000000000000302e-03	-5.835624038994512673e-03	-2.298884494371660620e-02
-8.182999999999999302e-03	-2.072622010673840984e-02	-2.298884494371660620e-02
-8.182000000000000037e-03	-2.444886912367438478e-02	-3.789353970914445535e-02
-8.180999999999999037e-03	-2.072622010673840984e-02	-4.534588709185837646e-02
-8.179999999999999771e-03	-1.700357108980243490e-02	-3.789353970914445535e-02
-8.178999999999998771e-03	-3.561681617448230613e-02	-1.926267125235964217e-02
-8.177999999999999506e-03	-1.328092207286646169e-02	-2.298884494371660620e-02
-8.177000000000000240e-03	-3.189416715754633119e-02	-1.553649756100268162e-02
-8.175999999999999240e-03	-1.328092207286646169e-02	-2.671501863507356675e-02
-8.174999999999999975e-03	-2.444886912367438478e-02	-3.416736601778749133e-02
-8.173999999999998975e-03	-2.817151814061035972e-02	-1.553649756100268162e-02
-8.172999999999999710e-03	-1.700357108980243490e-02	-3.044119232643052730e-02
-8.172000000000000444e-03	-3.189416715754633119e-02	-1.926267125235964217e-02
-8.170999999999999444e-03	-5.835624038994512673e-03	-3.789353970914445535e-02
-8.170000000000000179e-03	-2.817151814061035972e-02	-1.553649756100268162e-02
-8.168999999999999179e-03	-3.189416715754633119e-02	-2.298884494371660620e-02
-8.167999999999999913e-03	-2.444886912367438478e-02	-1.553649756100268162e-02
-8.166999999999998913e-03	-3.189416715754633119e-02	-2.671501863507356675e-02
-8.165999999999999648e-03	-1.328092207286646169e-02	-3.789353970914445535e-02
-8.165000000000000382e-03	-2.072622010673840984e-02	-3.416736601778749133e-02
-8.163999999999999382e-03	-2.444886912367438478e-02	-2.671501863507356675e-02
-8.163000000000000117e-03	-1.700357108980243490e-02	-1.553649756100268162e-02
-8.161999999999999117e-03	-2.817151814061035972e-02	-1.926267125235964217e-02
-8.160999999999999852e-03	-2.817151814061035972e-02	-3.789353970914445535e-02
-8.159999999999998851e-03	-2.072622010673840984e-02	-3.044119232643052730e-02
-8.158999999999999586e-03	-1.328092207286646169e-02	-1.553649756100268162e-02
-8.158000000000000321e-03	-3.933946519141828108e-02	-2.671501863507356675e-02
-8.156999999999999321e-03	-2.072622010673840984e-02	-2.298884494371660620e-02
-8.156000000000000055e-03	-2.817151814061035972e-02	-4.161971340050141244e-02
-8.154999999999999055e-03	-3.189416715754633119e-02	-2.671501863507356675e-02
-8.153999999999999790e-03	-2.817151814061035972e-02	-6.318027955748337608e-04
-8.152999999999998790e-03	-2.444886912367438478e-02	-1.553649756100268162e-02
-8.151999999999999524e-03	-1.328092207286646169e-02	-4.161971340050141244e-02
-8.151000000000000259e-03	-2.444886912367438478e-02	-4.161971340050141244e-02
-8.149999999999999259e-03	-2.444886912367438478e-02	-3.789353970914445535e-02
-8.148999999999999994e-03	-2.444886912367438478e-02	-2.671501863507356675e-02
-8.147999999999998993e-03	-2.112975022058538165e-03	-3.044119232643052730e-02
-8.146999999999999728e-03	-1.700357108980243490e-02	-2.298884494371660620e-02
-8.146000000000000463e-03	-2.817151814061035972e-02	-2.298884494371660620e-02
-8.144999999999999463e-03	-2.444886912367438478e-02	-1.553649756100268162e-02
-8.144000000000000197e-03	-2.817151814061035972e-02	-1.553649756100268162e-02
-8.142999999999999197e-03	-1.328092207286646169e-02	-1.553649756100268162e-02
-8.141999999999999932e-03	-2.817151814061035972e-02	-2.671501863507356675e-02
-8.140999999999998932e-03	-2.072622010673840984e-02	-3.044119232643052730e-02
-8.139999999999999666e-03	-2.444886912367438478e-02	-1.553649756100268162e-02
-8.139000000000000401e-03	-3.561681617448230613e-02	-1.926267125235964217e-02
-8.137999999999999401e-03	-1.328092207286646169e-02	-3.044119232643052730e-02
-8.137000000000000136e-03	-2.072622010673840984e-02	-1.926267125235964217e-02
-8.135999999999999135e-03	-1.328092207286646169e-02	-2.671501863507356675e-02
-8.134999999999999870e-03	-2.444886912367438478e-02	-1.553649756100268162e-02
-8.133999999999998870e-03	-1.700357108980243490e-02	-3.416736601778749133e-02
-8.132999999999999605e-03	-1.700357108980243490e-02	-1.926267125235964217e-02
-8.132000000000000339e-03	-2.444886912367438478e-02	-2.671501863507356675e-02
-8.130999999999999339e-03	-1.700357108980243490e-02	-2.671501863507356675e-02
-8.130000000000000074e-03	-1.328092207286646169e-02	-2.298884494371660620e-02
-8.128999999999999074e-03	-1.328092207286646169e-02	-3.416736601778749133e-02
-8.127999999999999808e-03	-1.700357108980243490e-02	-4.907206078321534048e-02
-8.126999999999998808e-03	-2.112975022058538165e-03	-3.044119232643052730e-02
-8.125999999999999543e-03	-2.817151814061035972e-02	-2.298884494371660620e-02
-8.125000000000000278e-03	-1.700357108980243490e-02	-1.926267125235964217e-02
-8.123999999999999277e-03	-1.328092207286646169e-02	-3.416736601778749133e-02
-8.123000000000000012e-03	-1.700357108980243490e-02	-3.416736601778749133e-02
-8.121999999999999012e-03	-2.072622010673840984e-02	-2.671501863507356675e-02
-8.120999999999999747e-03	-9.558273055930486747e-03	-1.553649756100268162e-02
-8.120000000000000481e-03	-3.933946519141828108e-02	-2.671501863507356675e-02
-8.118999999999999481e-03	-3.561681617448230613e-02	-4.534588709185837646e-02
-8.118000000000000216e-03	-2.817151814061035972e-02	-1.926267125235964217e-02
-8.116999999999999216e-03	-2.072622010673840984e-02	-2.298884494371660620e-02
-8.115999999999999950e-03	-2.444886912367438478e-02	-3.044119232643052730e-02
-8.114999999999998950e-03	-2.072622010673840984e-02	-1.553649756100268162e-02
-8.113999999999999685e-03	-2.817151814061035972e-02	-2.298884494371660620e-02
-8.113000000000000420e-03	-5.835624038994512673e-03	-2.671501863507356675e-02
-8.111999999999999419e-03	-2.072622010673840984e-02	-4.161971340050141244e-02
-8.111000000000000154e-03	-1.700357108980243490e-02	-4.534588709185837646e-02
-8.109999999999999154e-03	-3.561681617448230613e-02	-3.789353970914445535e-02
-8.108999999999999889e-03	-2.444886912367438478e-02	-1.926267125235964217e-02
-8.107999999999998889e-03	-9.558273055930486747e-03	-3.416736601778749133e-02
