# Acquisizione Analog Discovery 2
# Timestamp 2024-11-28 09:43:39
# time	ch1	ch2
-2.048000000000000168e-02	-1.361283396317536087e-01	4.970083901474612986e+00
-2.047500000000000014e-02	-1.137924455301377730e-01	4.951453033017827465e+00
-2.047000000000000208e-02	-1.137924455301377730e-01	4.973810075165969735e+00
-2.046500000000000055e-02	-9.517920044545789826e-02	4.958905380400541851e+00
-2.046000000000000249e-02	-8.401125339464997344e-02	4.962631554091898600e+00
-2.045500000000000096e-02	-6.912065732690607367e-02	4.962631554091898600e+00
-2.045000000000000290e-02	-9.145655142852192332e-02	4.977536248857326484e+00
-2.044500000000000137e-02	-6.539800830997009873e-02	4.970083901474612986e+00
-2.044000000000000331e-02	-5.423006125916218084e-02	4.970083901474612986e+00
-2.043500000000000177e-02	-4.678476322529023096e-02	4.981262422548683233e+00
-2.043000000000000024e-02	-4.678476322529023096e-02	4.977536248857326484e+00
-2.042500000000000218e-02	-3.189416715754633119e-02	4.977536248857326484e+00
-2.042000000000000065e-02	-5.423006125916218084e-02	4.992440943622754368e+00
-2.041500000000000259e-02	-4.678476322529023096e-02	4.962631554091898600e+00
-2.041000000000000106e-02	-4.306211420835425602e-02	4.973810075165969735e+00
-2.040500000000000300e-02	-1.328092207286646169e-02	4.973810075165969735e+00
-2.040000000000000147e-02	-2.444886912367438478e-02	4.988714769931397619e+00
-2.039499999999999993e-02	-1.700357108980243490e-02	4.955179206709185102e+00
-2.039000000000000187e-02	-1.328092207286646169e-02	4.973810075165969735e+00
-2.038500000000000034e-02	-3.561681617448230613e-02	4.962631554091898600e+00
-2.038000000000000228e-02	-2.072622010673840984e-02	4.981262422548683233e+00
-2.037500000000000075e-02	-2.444886912367438478e-02	4.977536248857326484e+00
-2.037000000000000269e-02	-9.558273055930486747e-03	4.970083901474612986e+00
-2.036500000000000116e-02	-1.328092207286646169e-02	4.966357727783255349e+00
-2.036000000000000310e-02	-3.189416715754633119e-02	4.977536248857326484e+00
-2.035500000000000156e-02	-2.817151814061035972e-02	4.966357727783255349e+00
-2.035000000000000003e-02	-3.189416715754633119e-02	4.977536248857326484e+00
-2.034500000000000197e-02	-2.817151814061035972e-02	4.984988596240040870e+00
-2.034000000000000044e-02	-3.189416715754633119e-02	4.958905380400541851e+00
-2.033500000000000238e-02	-3.933946519141828108e-02	4.977536248857326484e+00
-2.033000000000000085e-02	-2.444886912367438478e-02	4.977536248857326484e+00
-2.032500000000000279e-02	-2.072622010673840984e-02	4.973810075165969735e+00
-2.032000000000000126e-02	-9.558273055930486747e-03	4.958905380400541851e+00
-2.031500000000000319e-02	-3.933946519141828108e-02	4.977536248857326484e+00
-2.031000000000000166e-02	-2.817151814061035972e-02	4.977536248857326484e+00
-2.030500000000000013e-02	-1.328092207286646169e-02	4.970083901474612986e+00
-2.030000000000000207e-02	-2.444886912367438478e-02	4.973810075165969735e+00
-2.029500000000000054e-02	-2.817151814061035972e-02	4.973810075165969735e+00
-2.029000000000000248e-02	-2.817151814061035972e-02	4.970083901474612986e+00
-2.028500000000000095e-02	-9.558273055930486747e-03	4.977536248857326484e+00
-2.028000000000000289e-02	-2.072622010673840984e-02	4.962631554091898600e+00
-2.027500000000000135e-02	-3.189416715754633119e-02	4.951453033017827465e+00
-2.027000000000000329e-02	-2.817151814061035972e-02	4.977536248857326484e+00
-2.026500000000000176e-02	-1.700357108980243490e-02	4.966357727783255349e+00
-2.026000000000000023e-02	-3.933946519141828108e-02	4.951453033017827465e+00
-2.025500000000000217e-02	-2.444886912367438478e-02	4.973810075165969735e+00
-2.025000000000000064e-02	-2.444886912367438478e-02	4.988714769931397619e+00
-2.024500000000000258e-02	-3.189416715754633119e-02	4.966357727783255349e+00
