# Acquisizione Analog Discovery 2
# Timestamp 2024-11-28 11:36:27
# time	ch1	ch2
-2.048000000000000098e-01	-7.656595536077802355e-02	4.970083901474612986e+00
-2.047500000000000153e-01	5.049521740960058125e+00	4.951453033017827465e+00
-2.047000000000000208e-01	-6.912065732690607367e-02	4.977536248857326484e+00
-2.046499999999999986e-01	5.034631144892314225e+00	4.944000685635113967e+00
-2.046000000000000041e-01	-8.028860437771399849e-02	4.977536248857326484e+00
-2.045500000000000096e-01	5.053244389976994100e+00	-7.142910293135711075e-02
-2.045000000000000151e-01	-5.795271027609815578e-02	6.820544587139090384e-03
-2.044500000000000206e-01	5.045799091943122150e+00	-4.534588709185837646e-02
-2.043999999999999984e-01	-8.401125339464997344e-02	-4.357976486931795616e-03
-2.043500000000000039e-01	5.027185846858442275e+00	-2.671501863507356675e-02
-2.043000000000000094e-01	-6.539800830997009873e-02	-6.318027955748337608e-04
-2.042500000000000149e-01	5.053244389976994100e+00	4.962631554091898600e+00
-2.042000000000000204e-01	-8.401125339464997344e-02	4.984988596240040870e+00
-2.041499999999999981e-01	5.038353793909250200e+00	-6.025058185728622562e-02
-2.041000000000000036e-01	-7.284330634384204861e-02	-8.084150178288757038e-03
-2.040500000000000091e-01	5.023463197841506300e+00	-5.279823447457229757e-02
-2.040000000000000147e-01	-7.284330634384204861e-02	-8.084150178288757038e-03
-2.039500000000000202e-01	5.038353793909250200e+00	-3.789353970914445535e-02
-2.038999999999999979e-01	-7.656595536077802355e-02	-6.318027955748337608e-04
-2.038500000000000034e-01	5.038353793909250200e+00	-4.534588709185837646e-02
-2.038000000000000089e-01	-9.517920044545789826e-02	-8.084150178288757038e-03
-2.037500000000000144e-01	5.030908495875378250e+00	-3.789353970914445535e-02
-2.037000000000000199e-01	-5.795271027609815578e-02	1.054671827849605267e-02
-2.036499999999999977e-01	5.030908495875378250e+00	-5.652440816592926159e-02
-2.036000000000000032e-01	-7.656595536077802355e-02	-6.318027955748337608e-04
-2.035500000000000087e-01	5.042076442926186175e+00	4.955179206709185102e+00
