# Acquisizione Analog Discovery 2
# Timestamp 2024-11-28 11:30:02
# time	ch1	ch2
-5.120000000000000245e-02	-4.678476322529023096e-02	4.958905380400541851e+00
-5.118750000000000383e-02	5.068134986044738000e+00	-1.161431872276406513e-01
-5.117500000000000521e-02	5.056967038993930075e+00	-1.049646661535697661e-01
-5.116249999999999964e-02	5.034631144892314225e+00	-7.515527662271406784e-02
-5.115000000000000102e-02	5.027185846858442275e+00	-8.260762400542799588e-02
-5.113750000000000240e-02	-1.063471474962658231e-01	-8.084150178288757038e-03
-5.112500000000000377e-02	-1.100697965132017980e-01	-1.926267125235964217e-02
-5.111250000000000515e-02	-7.284330634384204861e-02	-4.357976486931795616e-03
-5.109999999999999959e-02	-4.678476322529023096e-02	-1.926267125235964217e-02
-5.108750000000000097e-02	5.045799091943122150e+00	-5.279823447457229757e-02
-5.107500000000000234e-02	5.030908495875378250e+00	-5.652440816592926159e-02
-5.106250000000000372e-02	5.027185846858442275e+00	-3.044119232643052730e-02
-5.105000000000000510e-02	5.008572601773762401e+00	-6.025058185728622562e-02
-5.103749999999999953e-02	-1.063471474962658231e-01	1.427289196985301323e-02
-5.102500000000000091e-02	-9.890184946239387320e-02	3.094370895782128095e-03
-5.101250000000000229e-02	-7.656595536077802355e-02	-4.357976486931795616e-03
-5.100000000000000366e-02	-5.050741224222620590e-02	-1.553649756100268162e-02
-5.098750000000000504e-02	5.064412337027802025e+00	-6.397675554864318270e-02
-5.097499999999999948e-02	5.042076442926186175e+00	-6.025058185728622562e-02
-5.096250000000000085e-02	5.034631144892314225e+00	-4.907206078321534048e-02
-5.095000000000000223e-02	5.030908495875378250e+00	-4.534588709185837646e-02
-5.093750000000000361e-02	-8.401125339464997344e-02	2.172523935256693781e-02
-5.092500000000000498e-02	-9.517920044545789826e-02	1.427289196985301323e-02
-5.091249999999999942e-02	-6.539800830997009873e-02	-2.298884494371660620e-02
-5.090000000000000080e-02	-5.050741224222620590e-02	-1.181032386964571933e-02
-5.088750000000000218e-02	5.064412337027802025e+00	-8.633379769678495297e-02
-5.087500000000000355e-02	5.060689688010866050e+00	-5.279823447457229757e-02
-5.086250000000000493e-02	5.038353793909250200e+00	-6.397675554864318270e-02
-5.084999999999999937e-02	5.012295250790698375e+00	-2.671501863507356675e-02
-5.083750000000000074e-02	-1.026244984793298481e-01	1.799906566120997725e-02
-5.082500000000000212e-02	-8.773390241158594838e-02	-8.084150178288757038e-03
-5.081250000000000350e-02	-7.656595536077802355e-02	-2.671501863507356675e-02
-5.080000000000000487e-02	-6.167535929303412379e-02	-3.416736601778749133e-02
-5.078749999999999931e-02	5.042076442926186175e+00	-7.142910293135711075e-02
-5.077500000000000069e-02	5.045799091943122150e+00	-5.279823447457229757e-02
-5.076250000000000207e-02	5.027185846858442275e+00	-5.652440816592926159e-02
-5.075000000000000344e-02	5.038353793909250200e+00	-6.025058185728622562e-02
-5.073750000000000482e-02	-1.137924455301377730e-01	1.427289196985301323e-02
-5.072499999999999926e-02	-8.773390241158594838e-02	-4.357976486931795616e-03
-5.071250000000000063e-02	-8.401125339464997344e-02	-6.318027955748337608e-04
-5.070000000000000201e-02	-5.795271027609815578e-02	-3.416736601778749133e-02
-5.068750000000000339e-02	5.045799091943122150e+00	-6.397675554864318270e-02
-5.067500000000000476e-02	5.064412337027802025e+00	-6.025058185728622562e-02
-5.066249999999999920e-02	5.027185846858442275e+00	-3.416736601778749133e-02
-5.065000000000000058e-02	5.008572601773762401e+00	-4.161971340050141244e-02
-5.063750000000000195e-02	-8.401125339464997344e-02	1.799906566120997725e-02
-5.062500000000000333e-02	-7.656595536077802355e-02	-8.084150178288757038e-03
-5.061250000000000471e-02	-6.167535929303412379e-02	-2.298884494371660620e-02
-5.059999999999999915e-02	-6.167535929303412379e-02	-1.553649756100268162e-02
-5.058750000000000052e-02	5.064412337027802025e+00	-7.888145031407103880e-02
